SystemCode,TransNumber,TransDate,TransType,UCode,snum,SRNNumber,SRNType,PONumber,I,ItemCode,Item_Locked,ItemStatus,AddValue,Filled_Quantity,Billed_Quantity,RCP_Quantity,ISS_Quantity,PCS_Quantity,Meter_Quantity,RCP_Price,ISS_Price,RCP_Amount,ISS_Amount,Pack_Contains,KGContains,Packing,Rate_ED_Inv,Value_ED_INV,Rate_STD_Cost,Value_STD_Cost,Rate_NSales,Value_NSales,Sale_Price,ST_Rate,ST_Value,ST_Percent,ST_Amount,ST_Percent_A,ED_Rate,ED_Value,ED_Percent,ED_Amount,Freight_Amount,OT_Amount,Avg_Rate,Avg_Amount,ReceiptCode,IssueCode,WIPCode,COGSCode,SalesTaxCode,ExciseCode,SaleCode,ProcessCode,FreightCode,OtherCode,UPBillCode,U_STDRate,U_STDR_Process,SchemeRate,SchemeAmount,SchemeGrossTotal,SchemeTransNumber,Contain,ForExRate,ForExAmount,Calc_rate,Qty_used,OQty_Used,ScheduleDate,ScheduleQty,BackLog,Current_DP,Hold,USD,OJobQty,Status,Deal_No_DT,DealSize_DT,Log_Qty,PrintedType,Deal_Price,zrno
03,22070037,7/7/2022,0,Rabab Saleem,0,,L,,,95000103706,0,0,0,2078.1,0,0,1040,0,0,0,0,0,0,1040,1,Kgs,470,488800,0,0,0,488800,0,0,0,0,0,0,0,488800,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,1039.05,0,1/0/1900,1040,0,0,,,0,,,,0,Printed,0,32890
03,22070038,7/7/2022,0,Rabab Saleem,0,,L,,,95000300024,0,0,0,3993,0,0,2000,0,0,0,0,0,0,2000,1,Kgs,545,1090000,0,0,0,1090000,0,0,0,0,0,0,0,1090000,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,1996.5,0,12/30/3799,2000,0,0,,,0,,,,0,Printed,0,32282
03,22070039,7/7/2022,0,Rabab Saleem,0,,L,,,95000300024,0,0,0,2999,0,0,1500,0,0,0,0,0,0,1500,1,Kgs,545,817500,0,0,0,817500,0,0,0,0,0,0,0,817500,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,1499.5,0,12/30/3799,1500,0,0,,,0,,,,0,Printed,0,32283
03,22070040,7/7/2022,0,Rabab Saleem,0,,L,,,95000300024,0,0,0,3995.2,0,0,2000,0,0,0,0,0,0,2000,1,Kgs,545,1090000,0,0,0,1090000,0,0,0,0,0,0,0,1090000,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,1997.6,0,12/30/3799,2000,0,0,,,0,,,,0,Printed,0,32284
03,22070041,7/7/2022,0,Rabab Saleem,0,,L,,,95000300024,0,0,0,2987.2,0,0,1500,0,0,0,0,0,0,1500,1,Kgs,545,817500,0,0,0,817500,0,0,0,0,0,0,0,817500,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,1493.6,0,12/30/3799,1500,0,0,,,0,,,,0,Printed,0,32285
03,22070042,7/7/2022,0,Rabab Saleem,0,,L,,,95000300024,0,0,0,3993.4,0,0,2000,0,0,0,0,0,0,2000,1,Kgs,545,1090000,0,0,0,1090000,0,0,0,0,0,0,0,1090000,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,1996.7,0,12/30/3799,2000,0,0,,,0,,,,0,Printed,0,32286
03,22070043,7/7/2022,0,Rabab Saleem,0,,L,,,95000103827,0,0,0,1079.24,0,0,500,0,0,0,0,0,0,500,1,Kgs,641,320500,0,0,0,320500,0,0,0,0,0,0,0,320500,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,539.62,0,12/30/3799,500,0,0,,,0,,,,0,Printed,0,32290
03,22070044,7/7/2022,0,Mohsin,0,,L,,,95000103828,0,0,0,1673.7,0,0,1320,65000,0,0,0,0,0,1320,1,Pcs,12.62,820300,0,0,0,820300,0,0,0,0,0,0,0,820300,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,1275.6,0,12/30/3799,1320,0,0,,,0,,,,0,Printed,0,34093
03,22070045,7/7/2022,0,Rabab Saleem,0,,L,,,95000103829,0,0,0,0,0,0,5,50,0,0,0,0,0,5,1,Pcs,0.1,5,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,,0,,,,0,Printed,0,32292
03,22070046,7/7/2022,0,Rabab Saleem,0,,L,,,95000103505,0,0,0,6441.1,0,0,3500,0,0,0,0,0,0,3500,1,Kgs,595,2082500,0,0,0,2082500,0,0,0,0,0,0,0,2082500,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,3520.2,0,12/30/3799,3500,0,0,,,0,,,,0,Printed,0,32293
03,22070047,7/7/2022,0,Rabab Saleem,0,,L,,,95000102942,0,0,0,3518.02,0,0,1900,0,0,0,0,0,0,1900,1,Kgs,595,1130500,0,0,0,1130500,0,0,0,0,0,0,0,1130500,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,1759.01,0,12/30/3799,1900,0,0,,,0,,,,0,Printed,0,32294
03,22070048,7/7/2022,0,Rabab Saleem,0,,L,,,95000102593,0,0,0,4095.8,0,0,2000,0,0,0,0,0,0,2000,1,Kgs,730,1460000,0,0,0,1460000,0,0,0,0,0,0,0,1460000,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,2047.9,0,1/0/1900,2000,0,0,,,0,,,,0,Printed,0,32295
03,22070049,7/13/2022,0,Rabab Saleem,0,,L,,,95000103830,0,0,0,5.6,0,0,5,0,0,0,0,0,0,5,1,Kgs,0.1,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,2.8,0,12/30/3799,5,0,0,,,0,,,,0,Printed,0,32303
03,22070050,7/13/2022,0,Rabab Saleem,0,,L,,,95000103831,0,0,0,4.2,0,0,5,0,0,0,0,0,0,5,1,Kgs,0.1,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,2.1,0,12/30/3799,5,0,0,,,0,,,,0,Printed,0,32304
03,22070051,7/13/2022,0,Rabab Saleem,0,,L,,,95000102628,0,0,0,1939.14,0,0,1000,0,0,0,0,0,0,1000,1,Kgs,655,655000,0,0,0,655000,0,0,0,0,0,0,0,655000,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,969.57,0,12/30/3799,1000,0,0,,,0,,,,0,Printed,0,32313
03,22070052,7/14/2022,0,Rabab Saleem,0,,L,,,95000102628,0,0,0,2002.3,0,0,1000,0,0,0,0,0,0,1000,1,Pcs,655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,1001.15,0,1/0/1900,1000,0,0,,,0,,,,0,Printed,0,32314
03,22070053,7/14/2022,0,Rabab Saleem,0,,L,,,95000103680,0,0,0,10341.2,0,0,5000,0,0,0,0,0,0,5000,1,Kgs,960,4800000,0,0,0,4800000,0,0,0,0,0,0,0,4800000,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,5170.6,0,12/30/3799,5000,0,0,,,0,,,,0,Printed,0,32321
03,22070054,7/14/2022,0,Rabab Saleem,0,,L,,,95000102972,0,0,0,1008.5,0,0,500,0,0,0,0,0,0,500,1,Kgs,1400,700000,0,0,0,700000,0,0,0,0,0,0,0,700000,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,504.25,0,12/30/3799,500,0,0,,,0,,,,0,Printed,0,33727
03,22070055,7/14/2022,0,Rabab Saleem,0,,L,,,95000102353,0,0,0,903.3,0,0,500,0,0,0,0,0,0,500,1,Kgs,1400,700000,0,0,0,700000,0,0,0,0,0,0,0,700000,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,451.65,0,1/0/1900,500,0,0,,,0,,,,0,Printed,0,33725
03,22070056,7/14/2022,0,Rabab Saleem,0,,L,,,95000102354,0,0,0,560.05,0,0,500,0,0,0,0,0,0,500,1,Kgs,1400,700000,0,0,0,700000,0,0,0,0,0,0,0,700000,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,560.05,0,,582,0,0,,,0,,,,0,Printed,0,33731
03,22070057,7/14/2022,0,Rabab Saleem,0,,L,,,95000103832,0,0,0,0,0,0,5,0,0,0,0,0,0,5,1,Pcs,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,,0,,,,0,Printed,0,32325
03,22070058,7/14/2022,0,Izhar Ahmed,0,,L,,,97000900009,0,0,0,1880,0,0,940,0,0,0,0,0,0,940,1,Kgs,30,28200,0,0,0,28200,0,0,0,0,0,0,0,28200,0,0,0,0,0,0,,,,,,,,,,,,0,,0,0,0,,0,0,0,0,940,0,7/14/2022,940,0,0,,,0,,,,0,Printed,0,32326
